cycle,match_year,gender,people_ages_20_35,people_using_target_antidepressant,percent_using_target_antidepressant,approx_unemployment_rate_20_34,total_workers,nontraditional_workers,percent_in_nontraditional_jobs
2003-2004,2004,Female,774,46,5.943152454780361,10.05,258653022.6,23952651.55,9.260534172
2003-2004,2004,Male,667,10,1.4992503748125936,7.462499999999999,310500836.7,25010597.43,8.054921106
2005-2006,2006,Female,931,39,4.189044038668099,8.691666666666666,262565816.8,27485672.86,10.46810784
2005-2006,2006,Male,675,12,1.7777777777777777,6.408333333333333,318778880.5,23297439.36,7.308338409
2007-2008,2008,Female,739,24,3.247631935047361,11.466666666666669,265475477.8,26834930.62,10.10825212
2007-2008,2008,Male,729,12,1.646090534979424,8.037500000000001,310938339.6,27950874.0,8.989201536
2009-2010,2010,Female,874,38,4.3478260869565215,17.8,257300243.9,25427408.61,9.882388071
2009-2010,2010,Male,776,8,1.0309278350515465,12.775,293601067.5,25649473.08,8.73616479
2011-2012,2012,Female,769,38,4.9414824447334205,14.308333333333332,262771306.5,26818437.28,10.20599914
2011-2012,2012,Male,809,23,2.843016069221261,10.758333333333333,301406809.8,20529307.99,6.811162627
2013-2014,2014,Female,789,45,5.70342205323194,12.133333333333333,274039387.8,24405225.95,8.905736559
2013-2014,2014,Male,771,16,2.075226977950713,8.833333333333332,312772750.3,30094091.18,9.621711338
2015-2016,2016,Female,821,43,5.237515225334957,9.316666666666666,286536781.5,30325432.01,10.5834343
2015-2016,2016,Male,760,17,2.236842105263158,6.7375,327347570.0,28786568.94,8.793885026
2017-2018,2018,Female,695,36,5.179856115107913,7.641666666666667,297767589.4,27424861.57,9.210156694
2017-2018,2018,Male,656,20,3.048780487804878,5.441666666666667,336132270.1,27941912.82,8.312773068
2017-2020,2019,Female,1182,63,5.32994923857868,7.708333333333333,302204477.2,25940149.47,8.583641684
2017-2020,2019,Male,1062,30,2.824858757062147,5.220833333333333,339117295.6,29274273.02,8.632491882
